nlc,asc,station,fare_zone,total,early,am_peak,midday,pm_peak,evening,late,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
506,AMEu,Amersham,9,2219.933331146999,35.73900574,334.8503134,1177.7047236,483.07059746,135.62201113999998,52.946679807,0.91638946,1.66198152,1.66198152,3.14248698,4.9167789200000005,6.13473222,8.116007160000002,9.188647960000004,12.866987700000005,13.078627100000002,18.068085,17.082825399999997,23.0941806,21.6555438,28.4617862,27.166524,39.8522466,38.3142046,50.0694942,45.1398082,58.97072120000001,50.1453038,61.3251508,52.3278368,66.1728624,55.94403159999999,68.7701662,58.98239520000001,67.64976519999999,56.86405640000001,48.34982520000001,35.9641998,49.337591,42.704757400000005,34.866563400000004,39.115105,54.988444,41.5025648,32.9898444,37.8417876,48.926286,34.0246198,37.8450938,42.0957518,51.70387660000001,42.191627800000006,49.55442119999999,42.3487476,53.1828436,41.9629932,47.2741868,35.5560266,40.8969648,27.950996399999998,30.13736680000001,20.31054606,22.53154626,14.82411696,12.68533136,9.44775536,12.5126731,8.6602899,7.5864386,9.5882094,11.711351000000002,8.987887,7.960542199999999,9.12587,9.8003323,7.309667099999999,5.663049300000001,7.743767099999999,6.578439300000001,5.3438058,3.5223174,3.63659444,1.5575565814,1.5575565814,0.1159569814,0.1159569814,0.0016799414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9442,AMPt,Ampere Way,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5397,ANYr,Anerley,4,1505.299930819241,47.220915138,245.47408581200008,780.8403012000002,264.59953119999994,131.806347678,35.35874979124052,0.2617285,1.3686778199999998,2.928520816,4.520228622,6.579333454000001,9.190157754,10.626972813999998,11.745295358,12.145500132000002,13.010969640000004,14.0299401,15.66533228,17.02005138,19.137115060000006,20.846377780000005,23.499955220000004,23.84572106,27.09929762,29.07443276,30.09939278,29.81685548,31.51416972,32.852054120000005,33.42817872,37.23670824,38.7847749,40.02322406,38.30562316,40.06466144,38.30537018,38.15997632,38.46370612000001,38.27027736000001,36.0974006,34.0176536,32.96862232,30.56415632,28.61360818,27.32995,26.419424560000003,23.96057778,22.24799628,21.7596837,21.63564804,21.2693347,20.96615314,22.72860264,22.49199516,21.843351080000005,21.448175580000004,21.95598212,21.80393052,22.2351055,21.93701298,23.64092328,22.2789645,19.34164816,17.89582184,16.0625327,12.737806634000002,10.797660638,10.140581378,9.281829938,9.005960946,7.729790385999999,7.126886926000001,6.428272846,5.257555286,4.491217440860001,4.409364890860001,5.140875078860001,5.698783618514105,5.122322618514104,4.286749561654104,3.3093604589881043,2.1208753869881045,0.598210527334,0.1809441273339999,4.6081334e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
507,ANGu,Angel,1,18381.8265834052,186.0611406,968.9063416,6711.9566688,4672.4375740000005,3365.0997769999994,2477.3650814052003,0.0,7.484301200000001,16.191856,24.338302400000003,30.2993638,36.4151376,36.2424308,35.089748799999995,36.6796896,39.2110716,46.66851720000001,53.6099256,61.838711800000006,67.911175,78.3410364,88.3029602,101.5727354,114.9697404,132.49341599999997,147.3073624,159.1024392,168.14417400000002,179.24277920000003,188.6314412,205.464308,217.385126,238.0100792,261.137936,281.95356000000004,289.358556,303.519086,310.95729400000005,311.01341,311.269128,316.087274,319.578434,320.107074,321.562378,326.11290599999995,329.95594600000004,330.604292,334.466014,341.36453,346.92850400000003,351.56508600000006,368.44062600000007,381.749308,389.90626,399.276882,405.484608,406.61462200000005,412.1484940000001,409.8900200000001,396.0884620000001,387.2997840000001,363.973422,332.597698,306.984522,291.120012,267.0850742,255.5254082,243.7369642,246.7075722,247.8703422,253.520702,282.48235,315.43543400000004,322.033698,329.951468,346.48867,337.96337400000004,321.85198,312.743608,295.280547,228.86912296,159.78526885624,98.25141028104,45.68854628104,0.4594812810399999,0.02735132104,0.0042534248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
508,ARCu,Archway,2/3,9741.806137048345,184.4625124696,1256.7969159063998,4499.598582683,2000.6755583586005,1244.7381238076,555.5344438231427,3.2619170200000003,6.671020931999999,10.884583351999998,16.397003211999998,23.282644792,29.699326332,41.0820833048,53.1839335248,62.5233394568,67.9848526928,79.9969890608,84.81154939599999,88.49305042,92.185272666,103.17685027400002,112.967796654,126.014845912,134.68847157599998,146.65309175000004,157.300806048,162.59210808000003,161.46895044399997,166.690091336,174.49731204399998,179.16164388200005,183.25266964920004,190.33758446060003,198.8018178766,203.83392991060003,204.6236943706,207.6847554954,213.560995964,215.1384544872,208.1093186232,205.91401270320003,204.9479982992,194.95391334320004,183.9992839106,182.2726341486,179.25360342360003,170.91494585960004,169.82078696559998,169.335184965,168.432892441,169.156925572,166.89777063300002,169.00509970020005,173.69839710620005,169.8461313622,163.9768216102,165.4555156652,166.549783894,166.104084482,165.012831835,165.94015194099998,159.0320445576,147.63625478560002,135.41620849092,134.94907355592,127.24171511992,119.10568155732,109.23762829132,97.95006834,84.01973263100001,75.15818334900001,72.34457230100001,70.5674310008,71.11157438480001,67.8358273718,66.60909914780001,65.7544603618,64.46479621600001,61.960773298000014,58.29588286988108,45.35570193108108,31.597448917241078,19.34429724064108,8.096523673730061,0.163016548248984,0.1189595490598079,0.162331561899808,0.232939902286354,0.38867019759737,0.7432818750113361,1.7261080649125118,1.671899365912512,1.580269618125966,1.399059966221088,4.021421086407122,5.017469636495123,7.841068642495122,9.858352422495122,10.853896866,9.095387646,7.0845494260000015,4.26095042
9443,ARNt,Arena,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
509,AGRu,Arnos Grove,4,5177.866577729228,237.18931415969928,852.8514492,2530.7919098000007,927.4933131200002,449.00665386000014,180.53393758953,6.524980648,11.855220054873977,19.477993069539863,25.683567255539863,32.17143843553987,41.36123044153986,47.90392123466588,52.21096302,55.18209344000001,56.235959840000014,57.70668202000001,58.71607902,61.32462622,63.77150766,73.90835426000001,77.98183966,81.83963106000002,86.23725946000002,89.92993928,90.01747728000002,94.39389528000002,98.97260928,103.03255874,109.84090506,114.83876826000002,115.05655906,117.73172606,122.3315724,120.39982700000002,118.8177862,121.17706379999998,121.75672684000004,117.52962594,114.707151,115.6805288,110.8842964,103.99286866,99.10423246,97.4951431,89.75809102000001,85.52068034000003,81.66107036,78.66563498,77.44258876000002,78.00343623999998,77.59794808000001,80.40016295999997,80.90820824000001,80.69776436000001,77.67660076,78.30811066,78.38266466000002,77.20386526000001,75.60756976000002,73.45927456000001,69.24770758000001,63.59652726000001,56.50758246,50.1940186,45.17643412,38.902099240000005,33.8626075,30.47979680000001,28.27688724,26.22771992000001,26.069975760000005,25.01527096,24.697734,22.14346586,22.42390104,20.37854596,18.7009051,18.4906286,18.100957488,15.132759552000005,13.1032548482,9.828230380626003,6.0145961128900005,3.063590012924001,1.24482620903,0.00306934801,0.001887420816,0.00145394798,0.001105983146,0.00114460152,0.00087900634,0.3607458211080001,0.3605495835219999,0.360412529836,0.720152631356,0.960152631356,0.663010131356,1.7491279695139998,2.56157238,2.20150622,1.9615062200000004
510,ARLu,Arsenal,2,3687.025391191389,46.41087344686424,423.18687704,1929.0146722,634.9945951200001,545.8995022000001,107.51887118452451,1.4089163445091204,2.50086321050912,3.787908150509121,4.62118058766844,6.23890136766844,7.397350986000001,9.31873526,11.13701754,13.62652162,15.8725421,19.70945346,23.94457412,28.5897323,32.0056219,37.13515854,41.636355,47.126960800000006,49.6957056,54.6677796,59.176472,64.12980280000002,65.98025231999999,69.4246588,75.08594300000001,78.26305339999999,81.94892340000001,84.63073868000001,89.7240968,91.59949220000004,95.541327,95.71088079999998,99.2892382,100.7038162,99.2512688,93.5319938,90.2927906,86.43641399999998,82.7103398,76.1877236,72.49965780000001,67.800083,60.6262646,54.6525676,52.993345000000005,52.542056,50.80204551999999,51.75040552,51.90209432,52.97946172,50.43464672,53.55003,54.174425600000006,54.11307648,52.608318,53.67776072,56.46027452,65.04285292,70.24363544,79.16634352,77.12472220000001,68.87889728,53.724134680000006,41.78213722,25.71635232,20.69317558,16.199889220000003,14.25481304,13.07254878,12.455096580000005,12.0461592,12.94169146,12.321670160000002,11.6703673,11.6883115,9.496204398026803,7.1401720038948016,4.8865457329924,2.7991954998422406,0.8621059446022399,0.8420896058201,0.0020536199521,0.0007211708545,0.00076940355066,0.00051741188266,0.00020543316,0.00020543316,0.00020543316,0.000195077038,9.846442000000004e-05,0.360062803898,0.7600741438980001,0.8401287798979999,1.280913156474,2.081040936,1.721040936,1.321029596
9444,AVRt,Avenue Road,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
511,BSTu,Baker Street,1,28511.43236055432,327.960711804,1288.92369626,12157.7331654,8110.916154000001,4140.5787788,2485.3198542903046,43.919696480000006,47.9738591868,52.3333889388,44.9992593488,36.83622374880001,27.5044120288,34.138480382,40.25539169,46.200301120000006,50.66843412,55.072334,61.24878678,68.44045286000001,81.24905198,98.76102112,121.21478308,136.79967454,155.5086658,180.66913336,233.0910575,253.39532760000003,280.5593079,316.5642201,359.9652323,371.8770597,411.8949066,458.4325256,498.2127720000001,506.9836810000001,522.1643754,548.818797,572.0700402,569.1881688,580.3087174000001,585.9572213999999,574.2026644,557.2048188,549.012653,560.0893544,575.3348032,586.9663284000001,605.5505278,647.1209204,665.8587420000001,683.2558329999999,708.2465918000001,716.6911536,721.3732284,703.8251442000001,694.0642450000001,681.5989644,683.8176642000001,659.9016116000003,656.3552158000001,623.6564340000001,578.130068,511.0243054,463.2161716,410.25436400000007,374.42957200000006,343.2081274,327.99154460000005,311.17723020000005,293.16451500000005,280.0187273,272.9913523,277.7694913,275.3333777,277.1575395,274.0196646,272.9990856,260.0630572,247.7772444,231.80445414,219.38361208,194.00504648772,160.470427422339,116.43359536766096,80.55707197406096,42.35593775006096,17.919545536340962,0.4414145957219588,0.9277072504,1.584805844,3.207426128,3.076452134,2.91740374,3.08222632,2.95316234,6.886684960000001,10.35510016,11.79969716,12.36214542,15.160527940000003,9.54361672,6.07520152
