Source Station,Target Station,Weight
Golders Green,Hampstead,501
Sloane Square,South Kensington,1364
Acton Town,South Ealing,190
Embankment,Temple,467
Dollis Hill,Willesden Green,319
East Putney,Putney Bridge,753
Northwick Park,Preston Road,89
Shepherds Bush,White City,1135
Alperton,Park Royal,168
Mile End,Stepney Green,326
Finsbury Park,Seven Sisters,1182
Euston,Warren Street,556
Chalfont and Latimer,Chorleywood,194
Totteridge and Whetstone,Woodside Park,328
Kilburn Park,Maida Vale,187
Bayswater,Paddington,953
Parsons Green,Putney Bridge,671
Monument,Liverpool Street,2308
South Woodford,Woodford,238
Northwood Hills,Pinner,125
Monument,London Bridge,2695
Debden,Theydon Bois,158
Clapham North,Stockwell,484
Monument,Moorgate,903
Monument,Waterloo,1921
Bounds Green,Wood Green,602
Hanger Lane,Perivale,192
Hounslow Central,Hounslow East,202
Kensal Green,Queens Park,300
Elephant and Castle,Lambeth North,364
Lancaster Gate,Queensway,406
Finsbury Park,Highbury and Islington,975
Holborn,Russell Square,436
Baker Street,Finchley Road,717
Cockfosters,Oakwood,295
West Finchley,Woodside Park,187
Wimbledon,Wimbledon Park,2205
Chiswick Park,Turnham Green,264
Blackfriars,Temple,362
High Street Kensington,Notting Hill Gate,776
Ruislip Gardens,South Ruislip,164
Southfields,Wimbledon Park,551
Bermondsey,London Bridge,1719
Embankment,Waterloo,1900
Upminster,Upminster Bridge,345
Hornchurch,Upminster Bridge,89
Chigwell,Grange Hill,17
Bayswater,Notting Hill Gate,388
Morden,South Wimbledon,954
Paddington,Warwick Avenue,1313
Dollis Hill,Neasden,127
Boston Manor,Osterley,117
Turnpike Lane,Wood Green,643
Euston,Mornington Crescent,641
St. Johns Wood,Swiss Cottage,193
Lancaster Gate,Marble Arch,527
Colliers Wood,South Wimbledon,686
Leyton,Stratford,1698
Eastcote,Rayners Lane,124
Bond Street,Green Park,1600
Arsenal,Holloway Road,168
Ravenscourt Park,Stamford Brook,198
Finsbury Park,Manor House,925
Kingsbury,Wembley Park,476
Leyton,Leytonstone,560
Eastcote,Ruislip Manor,112
Kings Cross St. Pancras,Russell Square,930
Gants Hill,Redbridge,247
London Bridge,Southwark,1340
Source Station,Target Station,Weight
Moor Park,Rickmansworth,122
Sudbury Hill,Sudbury Town,100
Northolt,South Ruislip,260
Baker Street,Great Portland Street,420
Ladbroke Grove,Westbourne Park,528
Acton Town,South Ealing,231
Leicester Square,Piccadilly Circus,2290
Northwood,Northwood Hills,100
Stonebridge Park,Wembley Central,337
North Wembley,South Kenton,99
Bayswater,Paddington,988
Mile End,Stepney Green,308
Dagenham East,Elm Park,135
Pimlico,Victoria,1052
Mile End,Stratford,2795
Baker Street,St. Johns Wood,582
Ladbroke Grove,Latimer Road,524
Leicester Square,Tottenham Court Road,2788
Kew Gardens,Richmond,1727
Barbican,Farringdon,262
Monument,Cannon Street,341
Bromley-by-Bow,West Ham,264
Chigwell,Roding Valley,11
Southfields,Wimbledon Park,516
Goodge Street,Warren Street,190
Aldgate East,Liverpool Street,1632
Angel,Kings Cross St. Pancras,1503
Pimlico,Vauxhall,665
Finchley Road,West Hampstead,407
Wimbledon,Wimbledon Park,2162
Southwark,Waterloo,980
Ealing Broadway,Ealing Common,536
Blackhorse Road,Walthamstow Central,1377
Chalfont and Latimer,Chesham,128
Holborn,Russell Square,466
East Acton,White City,381
Bow Road,Mile End,355
Canada Water,Canary Wharf,1819
Plaistow,West Ham,223
Holborn,Tottenham Court Road,2060
Chiswick Park,Turnham Green,230
Baker Street,Marylebone,548
Finchley Road,Swiss Cottage,291
Ealing Common,North Ealing,54
Monument,Tower Hill,1171
Debden,Theydon Bois,163
Barkingside,Fairlop,82
Latimer Road,Wood Lane,465
Totteridge and Whetstone,Woodside Park,333
Green Park,Westminster,1107
Cockfosters,Oakwood,254
North Ealing,Park Royal,82
South Harrow,Sudbury Hill,99
Goldhawk Road,Shepherds Bush Market,311
Croxley,Moor Park,81
Grange Hill,Hainault,76
Bermondsey,Canada Water,675
Aldgate East,Whitechapel,660
High Street Kensington,Notting Hill Gate,761
Kilburn,West Hampstead,428
Kings Cross St. Pancras,Russell Square,986
Eastcote,Rayners Lane,135
Preston Road,Wembley Park,376
Clapham Common,Clapham South,581
Battersea Power Station,Nine Elms,1194
Gants Hill,Newbury Park,242
Aldgate East,Tower Hill,839
Archway,Tufnell Park,362
Harlesden,Willesden Junction,343
Boston Manor,Northfields,137
Leyton,Stratford,1668
Barkingside,Newbury Park,179
Kingsbury,Wembley Park,415
Manor House,Turnpike Lane,445
Earls Court,Gloucester Road,1115
Snaresbrook,South Woodford,171
Finchley Central,Mill Hill East,328
Fairlop,Hainault,98
Finchley Central,West Finchley,369
Sloane Square,Victoria,1311
Brixton,Stockwell,1598
Green Park,Victoria,2105
Oxford Circus,Warren Street,1184
Paddington,Royal Oak,1256
Finsbury Park,Seven Sisters,1211
St. Jamess Park,Victoria,880
North Wembley,Wembley Central,290
Farringdon,Kings Cross St. Pancras,1409
Northwick Park,Preston Road,109
Gunnersbury,Turnham Green,412
Kilburn Park,Queens Park,324
Canning Town,North Greenwich,1655
Leyton,Leytonstone,544
Rayners Lane,South Harrow,160
Heathrow Terminal 4,Heathrow Terminals 1 2 3,471
Kennington,Nine Elms,312
Gants Hill,Redbridge,238
Greenford,Perivale,160
Gloucester Road,South Kensington,1248
Chigwell,Grange Hill,13
Monument,Moorgate,975
Charing Cross,Embankment,829
Monument,Liverpool Street,2325
Buckhurst Hill,Loughton,216
Northfields,South Ealing,150
West Finchley,Woodside Park,193
Harrow-on-the-Hill,Northwick Park,313
Greenford,Northolt,292
Stockwell,Vauxhall,1342
Hillingdon,Ickenham,109
Kenton,South Kenton,118
Bayswater,Notting Hill Gate,396
Balham,Tooting Bec,837
Oxford Circus,Regents Park,744
Monument,London Bridge,2704
Balham,Clapham South,733
Dollis Hill,Neasden,148
Elm Park,Hornchurch,152
Colliers Wood,Tooting Broadway,1094
Ruislip,Ruislip Manor,160
Alperton,Park Royal,159
Earls Court,Kensington (Olympia),448
Highbury and Islington,Kings Cross St. Pancras,1383
Gunnersbury,Kew Gardens,650
Camden Town,Euston,1881
Acton Town,Turnham Green,471
Harrow and Wealdstone,Kenton,277
Knightsbridge,South Kensington,1776
Acton Town,Ealing Common,193
Camden Town,Mornington Crescent,1003
Kilburn Park,Maida Vale,215
Bond Street,Green Park,1596
Barking,Upney,598
Elephant and Castle,Lambeth North,335
Belsize Park,Hampstead,367
Bond Street,Marble Arch,875
Hatton Cross,Heathrow Terminal 4,227
Lambeth North,Waterloo,962
Seven Sisters,Tottenham Hale,832
Bounds Green,Wood Green,658
Plaistow,Upton Park,303
Bethnal Green,Liverpool Street,1028
Camden Town,Chalk Farm,978
Brent Cross,Hendon Central,302
Euston Square,Great Portland Street,173
Baker Street,Regents Park,296
Upminster,Upminster Bridge,328
Leytonstone,Wanstead,249
Colliers Wood,South Wimbledon,678
Finsbury Park,Highbury and Islington,1027
Heathrow Terminal 5,Heathrow Terminals 1 2 3,412
